Word,Coefficient
chromecast,0.15526827144282426
chromes,0.07819299416676145
circle,0.034645054634542434
claim,0.09755596500242436
claims,0.03134239389466387
clarity,0.05380609501955863
class,0.021632953849272454
clean,-0.9029928951263565
cleaning,-0.26530550545609394
cleansafe,0.06537158220351581
clear,-0.4838204977699544
clearer,0.03375088078190546
clearly,-0.08198762694037964
click,0.18274373976551936
clicked,0.030195521704136703
clicks,-0.2216564908263029
clock,0.11655242200235857
close,0.19925974699958532
closed,0.18084826131527043
closely,0.07894071046559896
closer,0.06117489311701016
closest,0.04980788573932487
closing,-0.3282755547467634
cloth,0.0348253704694593
cloud,0.2231369418267493
clunky,0.044360955084249365
cobalt,0.09753267564969655
code,0.051359077634405295
coffee,-0.16851057406174605
cold,0.031132239914150702
collect,0.07695680671786327
collected,0.06160139441708952
collection,0.08326918915689388
collections3,0.03829124688164919
college,0.05218262304142801
color,-0.0711669075562915
colors,0.15833550544127098
colors6,0.014480410188514134
colorsedit,0.06160139441708952
comcast,0.34091022807678656
come,-0.22366209160548003
comes,-0.4463864683190825
comfortable,-0.4754529572422213
comfortableread,0.08366348407793285
comic,0.04184326596896129
comics,0.05452193579183981
coming,-0.5247072449888843
comings,0.07819299416676145
comixology,0.027260967895919905
command,0.36825460620900224
commands,0.17431421084536533
comment,0.05829916789633393
commented,0.15706058154636293
commenting,0.13640257547547116
comments,0.12041337067335862
commercials,0.017852832348826963
common,-0.12368334419007085
compact,0.20049130647189103
companies,0.06343582300338563
companion,0.04981669981047651
companionhappy,0.0917421039629323
company,0.13191606923690458
compare,-0.24248765944917197
compared,0.24676006726774302
compares,0.03857687208010207
comparing,0.12415061993978091
comparison,0.2206400678754117
comparisons,0.01962276855660142
compatibility,0.08895365377086155
compensate,0.04527655800254597
compete,0.11182717771484071
competing,0.07819299416676145
competition,0.02351552187048109
complain,0.10571403605939897
complaint,0.12337530916473687
complaints,-0.1562785638524861
complete,-0.49829167294175924
completely,-0.6420411686149542
complex,-0.33955535543787585
compliment,0.15914473833770254
comprehensive,0.07859779771151543
computer,-0.057564556799529536
computers,0.009805023027941638
concern,-0.21388403776074894
concerned,-0.09274835541703695
concerns,-0.29994750875737347
conditions,0.045689538517144405
confident,0.14350792560787856
confused,-0.10200734180545308
confusion,0.03163843554436734
connect,-0.42649014227769205
connected,-0.19680757452361905
connecting,0.005241747617069669
connection,-0.5343510531904154
connections,0.014020524159474421
connectivity,-0.03404961783463283
connects,0.1632648794204744
cons,0.1652198452483613
consider,0.16938949199997813
consideration,-0.08916828026097402
considered,-0.033813850706076426
considering,-0.030536392977366607
considers,0.03574804274140501
consistent,0.03221635779188417
consistently,-0.32955707239592924
console,0.1326710078596159
conspros,0.05015698327696902
constantly,-0.17777231764424575
construction,0.0723346405466382
consume,-0.12408861468069604
consumer,0.047802953863587565
consumption,0.03011533501602869
contact,0.14939337305169026
contacted,-0.17323518381390954
contains,0.02084506882860045
content,0.2510953938109493
contents,0.06223934848111917
contentthe,0.07819299416676145
context,0.030469459992533032
continually,0.04885002886746756
continue,-0.17066069868424366
continued,0.055721565745919
continues,0.13181733328363873
continuously,0.022655798231616498
contrast,0.05157217492090239
control,-0.11256015942819574
controlled,0.02720762015567913
controller,0.359314704345085
controllers,0.0395097049454102
controlling,0.11249076204463987
controls,0.1354109398613727
convenience,0.06799534603846465
convenient,-0.0444853846048942
conveniently,0.07395164416926082
conversation,0.08085663691933392
conversations,0.09515198666805019
cooking,0.07166974065808841
cool,0.4898095616169245
cord,0.3932933763604002
core,0.02619847549603364
corner,-0.2756789375810909
correct,0.06252226805837974
correctly,-0.11696778159042152
cost,-0.3764922413129782
costs,-0.13641672630493362
couch,0.11388789817578882
count,0.015532452856022583
counter,-0.08286441177785647
counterpartsread,0.03829124688164919
countertop,0.0723346405466382
couple,0.03400809248666986
course,0.13017068994654848
cover,-1.2737718378299105
coverage,0.028960820377028268
covered,0.06183801873023787
covering,-0.3819909762730751
covers,-0.12837561043415555
cpu,0.030271189516239277
crack,0.03590783254742037
crackle,0.042123478083176874
cradle,0.1636525016361775
crap,-0.21448471832980034
crashed,0.12231123390323449
crashes,0.0295824962475043
crazy,0.06305557642043536
create,0.039633171730814334
created,0.0312150664843091
creating,0.02166317623158114
crisp,0.23300495724402912
crisper,0.03399321106736063
crossy,0.11461672157502655
crystal,0.060078712937877525
cumbersome,-0.21144085327953105
curious,0.0411807225961689
current,0.1729529227472227
currently,0.16431172714254796
curve,-0.20141070755847262
